zip_code,median_sale_price,price_change_pct_12mo,homes_sold,inventory,insights_generated_at,latest_insights
33010,572500.0,4.7,36.0,50.0,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33011,340000.0,70.0,1.0,,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33012,557500.0,71.5,76.0,136.0,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33013,595000.0,4.8,43.0,64.0,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33014,485000.0,6.6,59.0,82.0,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33015,436500.0,-6.1,104.0,177.0,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33016,390750.0,4.9,78.0,101.0,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33017,195000.0,0.0,1.0,,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33018,547450.0,1.4,110.0,138.0,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
33030,545500.0,-0.8,84.0,164.0,2026-07-21T14:48:31.122972+00:00,"Here are 3-4 concise, natural language insights about pricing trends across these Miami metro zip codes:

* The median sale price in most Miami metro zip codes has increased significantly over the past year, with some areas seeing growth of over 200%, such as zip code 33128 (232.5%).
* Luxury markets like Coral Gables (33134) and Coconut Grove (33133) have seen strong price appreciation, while more affordable neighborhoods like Hialeah (33010) and Opa-Locka (33037) have also seen moderate growth.
* A small number of zip codes, including 33255 and 33247, have seen relatively slow or even declining median sale prices over the past year, which could indicate market saturation or other underlying issues.
* The Miami metro area as a whole has shown robust demand, with many areas experiencing low inventory levels; however, this trend may be starting to shift in some neighborhoods, such as Hialeah (33010) and Opa-Locka (33037), where inventory is increasing."
